Cluster	GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
D	GO:0003723	2.84E-08	1.705499749	104.7011061	158	1491	RNA binding	2.75E-05	"ENSG00000005100,ENSG00000012048,ENSG00000013573,ENSG00000037897,ENSG00000048991,ENSG00000055044,ENSG00000059573,ENSG00000059588,ENSG00000065183,ENSG00000067704,ENSG00000071794,ENSG00000074201,ENSG00000077348,ENSG00000082516,ENSG00000087077,ENSG00000087269,ENSG00000088247,ENSG00000091127,ENSG00000092201,ENSG00000092847,ENSG00000096063,ENSG00000100823,ENSG00000100941,ENSG00000101104,ENSG00000101347,ENSG00000101361,ENSG00000104356,ENSG00000104835,ENSG00000105202,ENSG00000105364,ENSG00000106246,ENSG00000106344,ENSG00000107833,ENSG00000107949,ENSG00000107951,ENSG00000108561,ENSG00000109534,ENSG00000109819,ENSG00000110104,ENSG00000111142,ENSG00000111144,ENSG00000111331,ENSG00000111358,ENSG00000111364,ENSG00000111641,ENSG00000112578,ENSG00000112996,ENSG00000113460,ENSG00000114686,ENSG00000115053,ENSG00000115761,ENSG00000115816,ENSG00000115946,ENSG00000116120,ENSG00000116221,ENSG00000116299,ENSG00000116750,ENSG00000116918,ENSG00000117593,ENSG00000117597,ENSG00000117877,ENSG00000119285,ENSG00000119599,ENSG00000120699,ENSG00000120800,ENSG00000123297,ENSG00000124571,ENSG00000125901,ENSG00000126602,ENSG00000126749,ENSG00000128626,ENSG00000129317,ENSG00000129347,ENSG00000130713,ENSG00000130810,ENSG00000130826,ENSG00000132300,ENSG00000132382,ENSG00000132819,ENSG00000133026,ENSG00000134001,ENSG00000134453,ENSG00000135250,ENSG00000135372,ENSG00000135778,ENSG00000135972,ENSG00000136718,ENSG00000136875,ENSG00000138095,ENSG00000138385,ENSG00000138646,ENSG00000141076,ENSG00000141456,ENSG00000141994,ENSG00000142207,ENSG00000142864,ENSG00000143633,ENSG00000143799,ENSG00000144231,ENSG00000144381,ENSG00000145912,ENSG00000146223,ENSG00000147586,ENSG00000148296,ENSG00000148843,ENSG00000149136,ENSG00000152234,ENSG00000154760,ENSG00000156469,ENSG00000156502,ENSG00000156697,ENSG00000160208,ENSG00000160214,ENSG00000160710,ENSG00000160818,ENSG00000163214,ENSG00000163938,ENSG00000164934,ENSG00000165209,ENSG00000165271,ENSG00000165526,ENSG00000165934,ENSG00000166133,ENSG00000166197,ENSG00000166889,ENSG00000166938,ENSG00000167112,ENSG00000167721,ENSG00000169062,ENSG00000169288,ENSG00000171262,ENSG00000173145,ENSG00000173674,ENSG00000176974,ENSG00000177613,ENSG00000178718,ENSG00000179051,ENSG00000180228,ENSG00000181163,ENSG00000182004,ENSG00000182810,ENSG00000183741,ENSG00000184083,ENSG00000184220,ENSG00000185163,ENSG00000185252,ENSG00000188976,ENSG00000189091,ENSG00000196305,ENSG00000196793,ENSG00000197498,ENSG00000198000,ENSG00000213782,ENSG00000227057,ENSG00000253729,ENSG00000254093,ENSG00000270647,ENSG00000273045"	"DHX33,BRCA1,DDX11,METTL1,R3HDM1,NOP58,ALDH18A1,TARBP1,WDR3,IARS2,HLTF,CLNS1A,EXOSC5,GEMIN5,TRIP6,NOP14,KHSRP,PUS7,SUPT16H,AGO1,SRPK1,APEX1,PNN,PABPC1L,SAMHD1,NOP56,POP1,SARS2,FBL,MRPL4,PTCD1,RBM28,NPM3,BCCIP,MTPAP,C1QBP,GAR1,PPARGC1A,CCDC86,METAP2,LTA4H,OAS3,GTF2H3,DDX55,NOP2,BYSL,MRPS30,BRIX1,MRPL3,NCL,NOL10,CEBPZ,PNO1,FARSB,MRPL37,KIAA1324,UCHL5,TSNAX,DARS2,DIEXF,CD3EAP,HEATR1,DCAF4,EXOSC8,UTP20,TSFM,XPO5,MRPS26,TRAP1,EMG1,MRPS12,PUS7L,KRI1,EXOSC2,PPAN,DKC1,PTCD3,MYBBP1A,RBM38,MYH10,EIF2S1,RBM17,SRPK2,NAT10,NTPCR,MRPS9,IMP4,PRPF4,LRPPRC,SSB,HERC5,CIRH1A,PELP1,DUS3L,URB1,SERBP1,C1orf131,PARP1,POLR2D,HSPD1,NHP2,RPL7L1,MRPS28,SURF6,PDCD11,SSRP1,ATP5A1,SLFN13,MTERF3,SUPV3L1,UTP14A,RRP1B,RRP1,ADAR,GPATCH4,DHX57,GNL3,DCAF13,STRBP,NOL6,RPUSD4,CPSF2,RPUSD2,NOLC1,PATL1,DIS3L,TRUB2,TSR1,UPF3A,MRPL1,FAM98B,NOC3L,EIF1AX,SHMT1,CSTF2T,RPP25,RCC2,PRKRA,NPM1,SNRPE,DDX28,CBX6,FAM120C,CMSS1,DDX51,ZNF74,NOC2L,SF3B3,IARS,ZNF239,RPF2,NOL8,DDX47,WDR46,PRKDC,PINX1,TAF15,C2orf15"
D	GO:0030515	3.59E-08	10.27229602	2.106662094	13	30	snoRNA binding	2.75E-05	"ENSG00000055044,ENSG00000065183,ENSG00000087269,ENSG00000101361,ENSG00000109534,ENSG00000112578,ENSG00000117597,ENSG00000119285,ENSG00000130826,ENSG00000136718,ENSG00000145912,ENSG00000167721,ENSG00000169288"	"NOP58,WDR3,NOP14,NOP56,GAR1,BYSL,DIEXF,HEATR1,DKC1,IMP4,NHP2,TSR1,MRPL1"
D	GO:0140098	1.34E-06	2.283549784	24.08616994	49	343	"catalytic activity, acting on RNA"	0.000685437	"ENSG00000005100,ENSG00000037897,ENSG00000059588,ENSG00000064703,ENSG00000067704,ENSG00000068654,ENSG00000077348,ENSG00000100823,ENSG00000101347,ENSG00000104356,ENSG00000104835,ENSG00000105202,ENSG00000111364,ENSG00000111641,ENSG00000116120,ENSG00000116874,ENSG00000116918,ENSG00000117593,ENSG00000117877,ENSG00000124787,ENSG00000126749,ENSG00000126814,ENSG00000129538,ENSG00000130713,ENSG00000133706,ENSG00000136104,ENSG00000137513,ENSG00000141101,ENSG00000141994,ENSG00000144231,ENSG00000152944,ENSG00000154743,ENSG00000156502,ENSG00000160193,ENSG00000163214,ENSG00000166166,ENSG00000166938,ENSG00000167272,ENSG00000171453,ENSG00000178718,ENSG00000182810,ENSG00000183665,ENSG00000185163,ENSG00000196305,ENSG00000198056,ENSG00000198860,ENSG00000213339,ENSG00000213782,ENSG00000255561"	"DHX33,METTL1,TARBP1,DDX20,IARS2,POLR1A,EXOSC5,APEX1,SAMHD1,POP1,SARS2,FBL,DDX55,NOP2,FARSB,WARS2,TSNAX,DARS2,CD3EAP,RPP40,EMG1,TRMT5,RNASE1,EXOSC2,LARS,RNASEH2B,NARS2,NOB1,DUS3L,POLR2D,MED21,TSEN2,SUPV3L1,WDR4,DHX57,TRMT61A,DIS3L,POP5,POLR1C,RPP25,DDX28,TRMT12,DDX51,IARS,PRIM1,TSEN15,QTRT1,DDX47,FDXACB1"
D	GO:0140101	8.44E-06	3.201328809	8.426648375	23	120	"catalytic activity, acting on a tRNA"	0.003232033	"ENSG00000037897,ENSG00000059588,ENSG00000067704,ENSG00000104356,ENSG00000104835,ENSG00000116120,ENSG00000116874,ENSG00000117593,ENSG00000124787,ENSG00000126814,ENSG00000133706,ENSG00000137513,ENSG00000141994,ENSG00000154743,ENSG00000160193,ENSG00000166166,ENSG00000167272,ENSG00000178718,ENSG00000183665,ENSG00000196305,ENSG00000198860,ENSG00000213339,ENSG00000255561"	"METTL1,TARBP1,IARS2,POP1,SARS2,FARSB,WARS2,DARS2,RPP40,TRMT5,LARS,NARS2,DUS3L,TSEN2,WDR4,TRMT61A,POP5,RPP25,TRMT12,IARS,TSEN15,QTRT1,FDXACB1"
D	GO:0003824	4.74E-05	1.334540796	318.5975307	372	4537	catalytic activity	0.01382304	"ENSG00000001036,ENSG00000005100,ENSG00000005981,ENSG00000006625,ENSG00000008394,ENSG00000009954,ENSG00000012048,ENSG00000013573,ENSG00000020426,ENSG00000020922,ENSG00000033050,ENSG00000037897,ENSG00000041802,ENSG00000044446,ENSG00000048028,ENSG00000049323,ENSG00000053900,ENSG00000058056,ENSG00000059573,ENSG00000059588,ENSG00000062282,ENSG00000063241,ENSG00000064601,ENSG00000064703,ENSG00000064933,ENSG00000067704,ENSG00000067992,ENSG00000068654,ENSG00000069535,ENSG00000069702,ENSG00000071794,ENSG00000073111,ENSG00000074410,ENSG00000074696,ENSG00000075239,ENSG00000076003,ENSG00000076248,ENSG00000077044,ENSG00000077348,ENSG00000079150,ENSG00000079387,ENSG00000083720,ENSG00000084774,ENSG00000085276,ENSG00000085871,ENSG00000087053,ENSG00000087299,ENSG00000088305,ENSG00000089053,ENSG00000090382,ENSG00000091127,ENSG00000093144,ENSG00000093217,ENSG00000095002,ENSG00000096063,ENSG00000097046,ENSG00000099953,ENSG00000100116,ENSG00000100350,ENSG00000100490,ENSG00000100526,ENSG00000100600,ENSG00000100714,ENSG00000100814,ENSG00000100823,ENSG00000101003,ENSG00000101346,ENSG00000101347,ENSG00000101444,ENSG00000101695,ENSG00000101868,ENSG00000101871,ENSG00000101911,ENSG00000102053,ENSG00000102096,ENSG00000102678,ENSG00000102763,ENSG00000102967,ENSG00000103037,ENSG00000103888,ENSG00000104140,ENSG00000104356,ENSG00000104835,ENSG00000104884,ENSG00000105202,ENSG00000105486,ENSG00000105552,ENSG00000105612,ENSG00000105647,ENSG00000105852,ENSG00000106080,ENSG00000106484,ENSG00000107719,ENSG00000107951,ENSG00000108179,ENSG00000108375,ENSG00000108602,ENSG00000108984,ENSG00000109323,ENSG00000109861,ENSG00000110090,ENSG00000110107,ENSG00000110171,ENSG00000110721,ENSG00000111142,ENSG00000111144,ENSG00000111231,ENSG00000111331,ENSG00000111358,ENSG00000111364,ENSG00000111641,ENSG00000111716,ENSG00000112118,ENSG00000112159,ENSG00000112992,ENSG00000114054,ENSG00000114491,ENSG00000115687,ENSG00000115825,ENSG00000116062,ENSG00000116120,ENSG00000116337,ENSG00000116353,ENSG00000116649,ENSG00000116750,ENSG00000116874,ENSG00000116918,ENSG00000116984,ENSG00000117280,ENSG00000117593,ENSG00000117650,ENSG00000117862,ENSG00000117877,ENSG00000118655,ENSG00000119227,ENSG00000119471,ENSG00000119787,ENSG00000121064,ENSG00000122512,ENSG00000122863,ENSG00000123179,ENSG00000123836,ENSG00000123992,ENSG00000124787,ENSG00000124802,ENSG00000125703,ENSG00000126749,ENSG00000126814,ENSG00000128050,ENSG00000128059,ENSG00000128683,ENSG00000128694,ENSG00000128928,ENSG00000129317,ENSG00000129538,ENSG00000130005,ENSG00000130304,ENSG00000130713,ENSG00000130768,ENSG00000130826,ENSG00000131238,ENSG00000132382,ENSG00000132423,ENSG00000132436,ENSG00000132646,ENSG00000132746,ENSG00000132763,ENSG00000132768,ENSG00000133026,ENSG00000133056,ENSG00000133706,ENSG00000133943,ENSG00000134072,ENSG00000134202,ENSG00000134716,ENSG00000135069,ENSG00000135250,ENSG00000135372,ENSG00000135446,ENSG00000135632,ENSG00000135778,ENSG00000135838,ENSG00000135913,ENSG00000136104,ENSG00000137124,ENSG00000137168,ENSG00000137177,ENSG00000137509,ENSG00000137513,ENSG00000137563,ENSG00000137673,ENSG00000137745,ENSG00000138031,ENSG00000138061,ENSG00000138095,ENSG00000138160,ENSG00000138175,ENSG00000138346,ENSG00000138363,ENSG00000138642,ENSG00000138646,ENSG00000138744,ENSG00000138796,ENSG00000139684,ENSG00000140854,ENSG00000140905,ENSG00000141101,ENSG00000141337,ENSG00000141994,ENSG00000142973,ENSG00000143149,ENSG00000143179,ENSG00000143382,ENSG00000143674,ENSG00000143799,ENSG00000143819,ENSG00000143891,ENSG00000144231,ENSG00000144381,ENSG00000144647,ENSG00000145194,ENSG00000145337,ENSG00000145604,ENSG00000146233,ENSG00000148702,ENSG00000149212,ENSG00000149328,ENSG00000149474,ENSG00000149476,ENSG00000149809,ENSG00000150347,ENSG00000151093,ENSG00000152234,ENSG00000152455,ENSG00000152556,ENSG00000152620,ENSG00000152782,ENSG00000152944,ENSG00000152953,ENSG00000153107,ENSG00000153147,ENSG00000153574,ENSG00000154328,ENSG00000154743,ENSG00000155189,ENSG00000155893,ENSG00000156471,ENSG00000156502,ENSG00000156521,ENSG00000156970,ENSG00000157036,ENSG00000157077,ENSG00000157399,ENSG00000158050,ENSG00000159063,ENSG00000159131,ENSG00000159348,ENSG00000159423,ENSG00000160172,ENSG00000160193,ENSG00000160710,ENSG00000160867,ENSG00000162139,ENSG00000162174,ENSG00000162227,ENSG00000162344,ENSG00000162623,ENSG00000163013,ENSG00000163214,ENSG00000163629,ENSG00000163655,ENSG00000163823,ENSG00000163864,ENSG00000163938,ENSG00000164024,ENSG00000164039,ENSG00000164182,ENSG00000164294,ENSG00000164904,ENSG00000165025,ENSG00000165060,ENSG00000165526,ENSG00000165572,ENSG00000165661,ENSG00000165672,ENSG00000165905,ENSG00000166033,ENSG00000166133,ENSG00000166166,ENSG00000166278,ENSG00000166582,ENSG00000166851,ENSG00000166938,ENSG00000167112,ENSG00000167272,ENSG00000167536,ENSG00000167721,ENSG00000167792,ENSG00000168116,ENSG00000168268,ENSG00000168291,ENSG00000168765,ENSG00000168906,ENSG00000169021,ENSG00000169299,ENSG00000169598,ENSG00000169660,ENSG00000170500,ENSG00000171130,ENSG00000171262,ENSG00000171453,ENSG00000172269,ENSG00000172878,ENSG00000173085,ENSG00000174684,ENSG00000174989,ENSG00000175054,ENSG00000175792,ENSG00000176974,ENSG00000177602,ENSG00000178202,ENSG00000178718,ENSG00000178802,ENSG00000178921,ENSG00000180817,ENSG00000180902,ENSG00000182551,ENSG00000182580,ENSG00000182810,ENSG00000183579,ENSG00000183665,ENSG00000183943,ENSG00000184428,ENSG00000184489,ENSG00000185090,ENSG00000185163,ENSG00000185420,ENSG00000186205,ENSG00000186318,ENSG00000186603,ENSG00000186854,ENSG00000186871,ENSG00000187240,ENSG00000188690,ENSG00000189007,ENSG00000189046,ENSG00000196139,ENSG00000196151,ENSG00000196177,ENSG00000196305,ENSG00000196363,ENSG00000196547,ENSG00000197121,ENSG00000197355,ENSG00000197763,ENSG00000198056,ENSG00000198513,ENSG00000198690,ENSG00000198721,ENSG00000198756,ENSG00000198860,ENSG00000198890,ENSG00000205268,ENSG00000205403,ENSG00000213339,ENSG00000213366,ENSG00000213782,ENSG00000214160,ENSG00000215883,ENSG00000216490,ENSG00000234129,ENSG00000253729,ENSG00000255072,ENSG00000255561,ENSG00000268173,ENSG00000280657"	"FUCA2,DHX33,ASB4,GGCT,MGST1,BAZ1B,BRCA1,DDX11,MNAT1,MRE11A,ABCF2,METTL1,LSG1,PHKA2,USP28,LTBP1,ANAPC4,USP13,ALDH18A1,TARBP1,DGAT2,ISOC2,CTSA,DDX20,PMS1,IARS2,PDK3,POLR1A,MAOB,TGFBR3,HLTF,MCM2,CA12,PTPLAD1,ACAT1,MCM6,UNG,DGKD,EXOSC5,FKBP7,SENP1,OXCT1,CAD,MECOM,MGST2,MTMR2,L2HGDH,DNMT3B,ANAPC5,LYZ,PUS7,ECHDC1,XYLB,MSH2,SRPK1,CDC7,MMP11,GCAT,FOXRED2,CDKL1,CDKN3,LGMN,MTHFD1,CCNB1IP1,APEX1,GINS1,POFUT1,SAMHD1,AHCY,RNF125,POLA1,MID1,PRPS2,ZC3H12B,PIM2,FGF9,VWA8,DHODH,SETD6,CEMIP,RHOV,POP1,SARS2,ERCC2,FBL,LIG1,BCAT2,DNASE2,PIK3R2,PON3,FKBP14,MEST,PALD1,MTPAP,PPIF,RNF43,ALDH3A1,MAP2K6,MANBA,CTSC,CPT1A,PRPF19,TRIM3,CHKA,METAP2,LTA4H,GPN3,OAS3,GTF2H3,DDX55,NOP2,LDHB,MCM3,MDN1,NNT,PCCB,UMPS,PASK,PRKD3,MSH6,FARSB,AMPD2,MECR,SRM,UCHL5,WARS2,TSNAX,MTR,RAB29,DARS2,NEK2,TXNDC12,CD3EAP,DCLRE1B,PIGZ,HSDL2,ATL2,SCPEP1,PMS2,CHST3,EBPL,PFKFB2,DNPEP,RPP40,EEF1E1,ATG4C,EMG1,TRMT5,PAICS,PPAT,GAD1,OSGEPL1,IVD,PUS7L,RNASE1,GAMT,SLC27A1,EXOSC2,SMPDL3B,DKC1,PPT1,MYBBP1A,COQ3,FIGNL1,PCNA,ALDH3B2,MMACHC,DPH2,MYH10,PIK3C2B,LARS,C14orf159,CAMK1,GSTM3,CYP2J2,PSAT1,SRPK2,NAT10,CDK4,SMYD5,NTPCR,NPL,USP37,RNASEH2B,ALDH1B1,PPIL1,KIF13A,PRCP,NARS2,GGH,MMP7,MMP13,ADCY3,CYP1B1,LRPPRC,KIF11,ARL3,DNA2,ATIC,HERC6,HERC5,NAAA,HADH,ESD,KATNB1,GCSH,NOB1,ARSG,DUS3L,CYP4B1,ALDH9A1,UCK2,ADAMTSL4,,PARP1,EPHX1,GALM,POLR2D,HSPD1,POMGNT2,ECE2,PYURF,SKP2,CYP39A1,HABP2,SESN3,GLB1L2,CSRP2BP,DAK,TM7SF2,ARID5B,OXSM,ATP5A1,SUV39H2,PFKM,NADK2,PANK1,MED21,STK32B,ANAPC1,SMARCA5,RPIA,NEIL2,TSEN2,AGPAT5,PXYLP1,PTDSS1,SUPV3L1,TYSND1,BUB1B,EXOG,ZFYVE9,ARSE,DUSP2,ALG8,GART,CYB5R1,ALDH4A1,FAM86C2P,WDR4,ADAR,FGFR4,NEU3,ASRGL1,TAF6L,FGF19,TYW3,FBXO41,DHX57,PTPN13,GMPS,CCR1,NMNAT3,GNL3,METAP1,BDH2,NDUFAF2,GPX8,ALDH7A1,SYK,FXN,RPUSD4,KBTBD6,QSOX2,PRDX3,GYLTL1B,HTRA1,RPUSD2,TRMT61A,C2,CENPV,PLK1,DIS3L,TRUB2,POP5,DHRS13,TSR1,NDUFV1,KIAA1586,NT5DC2,PDHB,GSTM4,MAT2A,UQCRFS1,PGM2,DFFB,HEXDC,LONRF2,ATP6V0E2,FAM98B,POLR1C,DPAGT1,METAP1D,COQ2,B4GAT1,FBXW8,ATR,RUVBL1,SHMT1,GSG2,KDELC2,RPP25,MPI,PFAS,PPA1,D2HGDH,ADI1,EPHB3,DDX28,ZNRF3,TRMT12,PRKX,TOP1MT,PTP4A3,MANEAL,DDX51,SMYD3,MARC1,BACE1,HPDL,TRABD2A,ERCC6L,DYNC2H1,UROS,ADAT2,ALKBH2,AKR1C3,WDSUB1,ACADSB,IARS,WDR5,MAN2A2,PGAP1,UAP1L1,TXNRD3,PRIM1,ATL1,FAN1,ECI2,COLGALT2,TSEN15,PRMT6,PDE7A,CFI,QTRT1,GSTM2,DDX47,ALG3,CYB5RL,IFI30,,PRKDC,PIGY,FDXACB1,PIK3R2,SMYD3"
D	GO:0016741	7.77E-05	2.39055264	13.55285947	29	193	"transferase activity, transferring one-carbon groups"	0.01382304	"ENSG00000037897,ENSG00000059588,ENSG00000084774,ENSG00000085276,ENSG00000088305,ENSG00000103037,ENSG00000105202,ENSG00000111641,ENSG00000116984,ENSG00000126749,ENSG00000126814,ENSG00000130005,ENSG00000132423,ENSG00000135632,ENSG00000138363,ENSG00000140905,ENSG00000145194,ENSG00000152455,ENSG00000159131,ENSG00000160172,ENSG00000160193,ENSG00000162623,ENSG00000166166,ENSG00000171262,ENSG00000176974,ENSG00000185420,ENSG00000196363,ENSG00000198890,ENSG00000255561,ENSG00000280657"	"METTL1,TARBP1,CAD,MECOM,DNMT3B,SETD6,FBL,NOP2,MTR,EMG1,TRMT5,GAMT,COQ3,SMYD5,ATIC,GCSH,ECE2,SUV39H2,GART,FAM86C2P,WDR4,TYW3,TRMT61A,FAM98B,SHMT1,SMYD3,WDR5,PRMT6,FDXACB1,SMYD3"
D	GO:0032404	7.90E-05	22.1969697	0.561776558	5	8	mismatch repair complex binding	0.01382304	"ENSG00000095002,ENSG00000116062,ENSG00000122512,ENSG00000132646,ENSG00000175054"	"MSH2,MSH6,PMS2,PCNA,ATR"
D	GO:0004519	8.07E-05	2.957818152	7.794649747	20	111	endonuclease activity	0.01382304	"ENSG00000020922,ENSG00000100823,ENSG00000102053,ENSG00000104356,ENSG00000105612,ENSG00000116918,ENSG00000122512,ENSG00000124787,ENSG00000129538,ENSG00000136104,ENSG00000138095,ENSG00000138346,ENSG00000141101,ENSG00000154328,ENSG00000154743,ENSG00000157036,ENSG00000167272,ENSG00000178718,ENSG00000198690,ENSG00000198860"	"MRE11A,APEX1,ZC3H12B,POP1,DNASE2,TSNAX,PMS2,RPP40,RNASE1,RNASEH2B,LRPPRC,DNA2,NOB1,NEIL2,TSEN2,EXOG,POP5,RPP25,FAN1,TSEN15"
D	GO:0016620	8.13E-05	6.330409357	1.966217954	9	28	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	0.01382304	"ENSG00000059573,ENSG00000108602,ENSG00000132746,ENSG00000137124,ENSG00000143149,ENSG00000159423,ENSG00000164904,ENSG00000168291,ENSG00000196139"	"ALDH18A1,ALDH3A1,ALDH3B2,ALDH1B1,ALDH9A1,ALDH4A1,ALDH7A1,PDHB,AKR1C3"
D	GO:0032405	0.000114001	53.21717791	0.351110349	4	5	MutLalpha complex binding	0.015499723	"ENSG00000095002,ENSG00000116062,ENSG00000132646,ENSG00000175054"	"MSH2,MSH6,PCNA,ATR"
