Cluster	GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
E	GO:0015020	6.71E-05	14.65122265	0.45271371	5	20	glucuronosyltransferase activity	0.056187185	"ENSG00000167165,ENSG00000171234,ENSG00000196620,ENSG00000213759,ENSG00000241635"	"UGT1A6,UGT2B7,UGT2B15,UGT2B11,UGT1A1"
E	GO:0036132	0.001508493	87.00763359	0.067907057	2	3	13-prostaglandin reductase activity	0.259535189	"ENSG00000106853,ENSG00000140043"	"PTGR1,PTGR2"
E	GO:0047522	0.001508493	87.00763359	0.067907057	2	3	15-oxoprostaglandin 13-oxidase activity	0.259535189	"ENSG00000106853,ENSG00000140043"	"PTGR1,PTGR2"
E	GO:0015184	0.002971878	43.5	0.090542742	2	4	L-cystine transmembrane transporter activity	0.259535189	"ENSG00000021488,ENSG00000138079"	"SLC7A9,SLC3A1"
E	GO:0008194	0.003475473	3.461090686	2.489925405	8	110	UDP-glycosyltransferase activity	0.259535189	"ENSG00000049860,ENSG00000167165,ENSG00000169193,ENSG00000171234,ENSG00000183778,ENSG00000196620,ENSG00000213759,ENSG00000241635"	"HEXB,UGT1A6,CCDC126,UGT2B7,B3GALT5,UGT2B15,UGT2B11,UGT1A1"
E	GO:0034237	0.005161441	10.06719717	0.362170968	3	16	protein kinase A regulatory subunit binding	0.259535189	"ENSG00000100744,ENSG00000105127,ENSG00000121057"	"GSKIP,AKAP8,AKAP1"
E	GO:0015145	0.006163747	9.34729064	0.384806654	3	17	monosaccharide transmembrane transporter activity	0.259535189	"ENSG00000100170,ENSG00000170482,ENSG00000173214"	"SLC5A1,SLC23A1,KIAA1919"
E	GO:0050072	0.007209797	21.74618321	0.135814113	2	6	m7G(5')pppN diphosphatase activity	0.259535189	"ENSG00000196368,ENSG00000198585"	"NUDT11,NUDT16"
E	GO:0003824	0.008579284	1.359079961	102.6981051	122	4537	catalytic activity	0.259535189	"ENSG00000002587,ENSG00000002726,ENSG00000013503,ENSG00000023228,ENSG00000023839,ENSG00000048392,ENSG00000049860,ENSG00000050748,ENSG00000065534,ENSG00000066583,ENSG00000067113,ENSG00000068366,ENSG00000072042,ENSG00000075643,ENSG00000081377,ENSG00000083520,ENSG00000084073,ENSG00000084092,ENSG00000084112,ENSG00000089123,ENSG00000091262,ENSG00000103319,ENSG00000103356,ENSG00000104320,ENSG00000106049,ENSG00000106853,ENSG00000107669,ENSG00000107798,ENSG00000108187,ENSG00000109654,ENSG00000112294,ENSG00000112773,ENSG00000113013,ENSG00000115271,ENSG00000115419,ENSG00000115525,ENSG00000115828,ENSG00000116171,ENSG00000117480,ENSG00000118777,ENSG00000120915,ENSG00000121316,ENSG00000123505,ENSG00000130707,ENSG00000132388,ENSG00000132664,ENSG00000133657,ENSG00000134086,ENSG00000134533,ENSG00000135093,ENSG00000135677,ENSG00000136521,ENSG00000137364,ENSG00000138018,ENSG00000138029,ENSG00000138079,ENSG00000138193,ENSG00000138413,ENSG00000139921,ENSG00000140043,ENSG00000140057,ENSG00000140474,ENSG00000140876,ENSG00000142606,ENSG00000147044,ENSG00000147475,ENSG00000148660,ENSG00000153922,ENSG00000153989,ENSG00000154822,ENSG00000155629,ENSG00000156256,ENSG00000156463,ENSG00000157184,ENSG00000158467,ENSG00000159921,ENSG00000162600,ENSG00000163312,ENSG00000163738,ENSG00000163743,ENSG00000164099,ENSG00000164116,ENSG00000164164,ENSG00000165671,ENSG00000165841,ENSG00000167165,ENSG00000168453,ENSG00000168781,ENSG00000168792,ENSG00000169139,ENSG00000169193,ENSG00000170759,ENSG00000171234,ENSG00000171451,ENSG00000171903,ENSG00000172766,ENSG00000173083,ENSG00000174013,ENSG00000178425,ENSG00000181192,ENSG00000182263,ENSG00000183044,ENSG00000183778,ENSG00000184012,ENSG00000185015,ENSG00000196368,ENSG00000196611,ENSG00000196620,ENSG00000196850,ENSG00000197635,ENSG00000198130,ENSG00000198585,ENSG00000198836,ENSG00000203797,ENSG00000206418,ENSG00000213341,ENSG00000213759,ENSG00000237289,ENSG00000241635,ENSG00000254087,ENSG00000257335,ENSG00000271447"	"HS3ST1,AOC1,POLR3B,NDUFS1,ABCC2,RRM2B,HEXB,MAPK9,MYLK,ISOC1,PPAP2A,ACSL4,RDH11,MOCOS,CDC14B,DIS3,ZMPSTE24,NOA1,SSH1,TASP1,ABCC6,EEF2K,EARS2,NBN,HIBADH,PTGR1,ATE1,LIPA,PBLD,TRIM2,ALDH5A1,FAM46A,HSPA9,GCA,GLS,ST3GAL5,QPCT,SCP2,FAAH,ABCG2,EPHX2,PLBD1,AMD1,ASS1,UBE2G1,POLR3F,ATP13A3,VHL,RERG,USP30,GNS,NDUFB5,TPMT,EPT1,HADHB,SLC3A1,PLCE1,IDH1,TMX1,PTGR2,AK7,ULK3,NUDT7,MMEL1,CASK,ERLIN2,CAMK2G,CHD1,NUS1,PLCL2,PIK3AP1,USP16,SH3RF2,CPT2,AHCYL2,GNE,OMA1,HELQ,MTHFD2L,RCHY1,PRSS12,GUCY1A3,OTUD4,NSD1,CYP2C19,UGT1A6,HR,PPIP5K1,ABHD15,UBE2V2,CCDC126,KIF5B,UGT2B7,DSEL,CYP4F11,NAA16,HPSE,FBXO45,NT5DC1,DHTKD1,FIGN,ABAT,B3GALT5,TMPRSS2,CA13,NUDT11,MMP1,UGT2B15,PPTC7,DPP4,HIBCH,NUDT16,OPA1,DDO,RAB12,CHUK,UGT2B11,CKMT1B,UGT1A1,LYN,MGAM,MMP28"
E	GO:0051119	0.00982992	7.695740365	0.45271371	3	20	sugar transmembrane transporter activity	0.259535189	"ENSG00000100170,ENSG00000170482,ENSG00000173214"	"SLC5A1,SLC23A1,KIAA1919"
E	GO:0000099	0.009943642	17.39541985	0.158449799	2	7	sulfur amino acid transmembrane transporter activity	0.259535189	"ENSG00000021488,ENSG00000138079"	"SLC7A9,SLC3A1"
E	GO:0016755	0.009943642	17.39541985	0.158449799	2	7	"transferase activity, transferring amino-acyl groups"	0.259535189	"ENSG00000107669,ENSG00000115828"	"ATE1,QPCT"
E	GO:0042577	0.009943642	17.39541985	0.158449799	2	7	lipid phosphatase activity	0.259535189	"ENSG00000067113,ENSG00000120915"	"PPAP2A,EPHX2"
E	GO:0004175	0.011213922	2.242716496	5.63628569	12	249	endopeptidase activity	0.259535189	"ENSG00000084073,ENSG00000089123,ENSG00000115271,ENSG00000135093,ENSG00000142606,ENSG00000156256,ENSG00000162600,ENSG00000164099,ENSG00000184012,ENSG00000196611,ENSG00000197635,ENSG00000271447"	"ZMPSTE24,TASP1,GCA,USP30,MMEL1,USP16,OMA1,PRSS12,TMPRSS2,MMP1,DPP4,MMP28"
E	GO:0051018	0.011334055	4.995164835	0.882791735	4	39	protein kinase A binding	0.259535189	"ENSG00000100744,ENSG00000105127,ENSG00000121057,ENSG00000243444"	"GSKIP,AKAP8,AKAP1,PALM2"
E	GO:0035197	0.013061435	14.49491094	0.181085484	2	8	siRNA binding	0.259535189	"ENSG00000113391,ENSG00000134046"	"FAM172A,MBD2"
E	GO:0004222	0.013831132	3.774796964	1.426048187	5	63	metalloendopeptidase activity	0.259535189	"ENSG00000084073,ENSG00000142606,ENSG00000162600,ENSG00000196611,ENSG00000271447"	"ZMPSTE24,MMEL1,OMA1,MMP1,MMP28"
E	GO:0016857	0.016544528	12.42311887	0.20372117	2	9	"racemase and epimerase activity, acting on carbohydrates and derivatives"	0.259535189	"ENSG00000159921,ENSG00000171451"	"GNE,DSEL"
E	GO:0036312	0.016544528	12.42311887	0.20372117	2	9	phosphatidylinositol 3-kinase regulatory subunit binding	0.259535189	"ENSG00000136848,ENSG00000155629"	"DAB2IP,PIK3AP1"
E	GO:0043225	0.016544528	12.42311887	0.20372117	2	9	ATPase-coupled anion transmembrane transporter activity	0.259535189	"ENSG00000023839,ENSG00000091262"	"ABCC2,ABCC6"
E	GO:0005342	0.017081742	3.095485636	2.059847381	6	91	organic acid transmembrane transporter activity	0.259535189	"ENSG00000021488,ENSG00000023839,ENSG00000138079,ENSG00000164300,ENSG00000169507,ENSG00000170482"	"SLC7A9,ABCC2,SLC3A1,SERINC5,SLC38A11,SLC23A1"
