GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	adjustedPvalue	ensembl_gene_id	hgnc_symbol
GO:0005576	2.78051594820929e-05	1.75989886756425	59.489552238806	88	2847	extracellular region	0.00793853307414605	ENSG00000004468,ENSG00000025770,ENSG00000026025,ENSG00000044574,ENSG00000068400,ENSG00000070404,ENSG00000078401,ENSG00000081277,ENSG00000083444,ENSG00000085741,ENSG00000090339,ENSG00000097021,ENSG00000099994,ENSG00000100097,ENSG00000100311,ENSG00000101443,ENSG00000101670,ENSG00000103005,ENSG00000103260,ENSG00000103855,ENSG00000104368,ENSG00000105968,ENSG00000107223,ENSG00000108107,ENSG00000108821,ENSG00000110944,ENSG00000113140,ENSG00000115009,ENSG00000115694,ENSG00000118503,ENSG00000119681,ENSG00000123416,ENSG00000124116,ENSG00000124160,ENSG00000124357,ENSG00000124466,ENSG00000127054,ENSG00000133318,ENSG00000133805,ENSG00000134013,ENSG00000134690,ENSG00000134955,ENSG00000137076,ENSG00000138069,ENSG00000139182,ENSG00000140521,ENSG00000140859,ENSG00000142871,ENSG00000143367,ENSG00000143537,ENSG00000146707,ENSG00000149541,ENSG00000149564,ENSG00000150687,ENSG00000153162,ENSG00000160014,ENSG00000160741,ENSG00000161958,ENSG00000162889,ENSG00000163191,ENSG00000166833,ENSG00000167552,ENSG00000167895,ENSG00000167996,ENSG00000168243,ENSG00000169429,ENSG00000172889,ENSG00000173511,ENSG00000174903,ENSG00000176014,ENSG00000176697,ENSG00000177675,ENSG00000178752,ENSG00000187961,ENSG00000188229,ENSG00000196230,ENSG00000196924,ENSG00000197043,ENSG00000197461,ENSG00000198203,ENSG00000198732,ENSG00000204469,ENSG00000205544,ENSG00000213185,ENSG00000214078,ENSG00000227507,ENSG00000240583,ENSG00000258947,ENSG00000269028	CD38,NCAPH2,VIM,HSPA5,GRIPAP1,FSTL3,EDN1,PKP1,PLOD1,WNT11,ICAM1,ACOT7,SUSD2,LGALS1,PDGFB,WFDC2,LIPG,USB1,METRN,CD276,PLAT,H2AFV,EDF1,RPL28,COL1A1,IL23A,SPARC,CCL20,STK25,TNFAIP3,LTBP2,TUBA1B,WFDC3,NCOA5,NAGK,LYPD3,CPSF3L,RTN3,AMPD3,LOXL2,CDCA8,SLC37A2,TLN1,RAB1A,CLSTN3,POLG,KIFC3,CYR61,TUFT1,ADAM15,POMZP3,B3GAT3,ESAM,PRSS23,BMP6,CALM3,CRTC2,FGF11,MAPKAPK2,S100A11,NAV2,TUBA1A,TMC8,FTH1,GNG4,CXCL8,EGFL7,VEGFB,RAB1B,TUBB6,BDNF,CD163L1,FAM132B,KLHL17,TUBB4B,TUBB,FLNA,ANXA6,PDGFA,SULT1C2,SMOC1,PRRC2A,TMEM256,FAM24B,CPNE1,LTB,AQP1,TUBB3,MTRNR2L12
GO:0044421	3.02997445578094e-05	1.78166383701188	53.5134328358209	81	2561	extracellular region part	0.00793853307414605	ENSG00000004468,ENSG00000025770,ENSG00000026025,ENSG00000044574,ENSG00000068400,ENSG00000070404,ENSG00000078401,ENSG00000081277,ENSG00000083444,ENSG00000085741,ENSG00000090339,ENSG00000097021,ENSG00000099994,ENSG00000100097,ENSG00000100311,ENSG00000101443,ENSG00000101670,ENSG00000103005,ENSG00000103260,ENSG00000103855,ENSG00000104368,ENSG00000105968,ENSG00000107223,ENSG00000108107,ENSG00000108821,ENSG00000110944,ENSG00000113140,ENSG00000115009,ENSG00000115694,ENSG00000118503,ENSG00000119681,ENSG00000123416,ENSG00000124160,ENSG00000124357,ENSG00000124466,ENSG00000127054,ENSG00000133318,ENSG00000134013,ENSG00000134690,ENSG00000134955,ENSG00000137076,ENSG00000138069,ENSG00000139182,ENSG00000140521,ENSG00000140859,ENSG00000142871,ENSG00000143537,ENSG00000146707,ENSG00000149541,ENSG00000149564,ENSG00000150687,ENSG00000153162,ENSG00000160014,ENSG00000160741,ENSG00000162889,ENSG00000163191,ENSG00000166833,ENSG00000167552,ENSG00000167895,ENSG00000167996,ENSG00000168243,ENSG00000169429,ENSG00000172889,ENSG00000173511,ENSG00000174903,ENSG00000176014,ENSG00000176697,ENSG00000178752,ENSG00000187961,ENSG00000188229,ENSG00000196230,ENSG00000196924,ENSG00000197043,ENSG00000197461,ENSG00000198203,ENSG00000198732,ENSG00000204469,ENSG00000205544,ENSG00000214078,ENSG00000227507,ENSG00000240583,ENSG00000258947	CD38,NCAPH2,VIM,HSPA5,GRIPAP1,FSTL3,EDN1,PKP1,PLOD1,WNT11,ICAM1,ACOT7,SUSD2,LGALS1,PDGFB,WFDC2,LIPG,USB1,METRN,CD276,PLAT,H2AFV,EDF1,RPL28,COL1A1,IL23A,SPARC,CCL20,STK25,TNFAIP3,LTBP2,TUBA1B,NCOA5,NAGK,LYPD3,CPSF3L,RTN3,LOXL2,CDCA8,SLC37A2,TLN1,RAB1A,CLSTN3,POLG,KIFC3,CYR61,ADAM15,POMZP3,B3GAT3,ESAM,PRSS23,BMP6,CALM3,CRTC2,MAPKAPK2,S100A11,NAV2,TUBA1A,TMC8,FTH1,GNG4,CXCL8,EGFL7,VEGFB,RAB1B,TUBB6,BDNF,FAM132B,KLHL17,TUBB4B,TUBB,FLNA,ANXA6,PDGFA,SULT1C2,SMOC1,PRRC2A,TMEM256,CPNE1,LTB,AQP1,TUBB3
GO:0005615	0.000199917930573069	1.68473719171184	51.1522388059701	75	2448	extracellular space	0.032927017563469	ENSG00000004468,ENSG00000026025,ENSG00000044574,ENSG00000068400,ENSG00000070404,ENSG00000078401,ENSG00000081277,ENSG00000083444,ENSG00000085741,ENSG00000090339,ENSG00000097021,ENSG00000099994,ENSG00000100097,ENSG00000100311,ENSG00000101443,ENSG00000101670,ENSG00000103260,ENSG00000103855,ENSG00000104368,ENSG00000105968,ENSG00000107223,ENSG00000108107,ENSG00000108821,ENSG00000110944,ENSG00000113140,ENSG00000115009,ENSG00000115694,ENSG00000118503,ENSG00000119681,ENSG00000123416,ENSG00000124160,ENSG00000124357,ENSG00000124466,ENSG00000127054,ENSG00000133318,ENSG00000134013,ENSG00000134955,ENSG00000137076,ENSG00000138069,ENSG00000139182,ENSG00000140521,ENSG00000140859,ENSG00000142871,ENSG00000143537,ENSG00000149541,ENSG00000149564,ENSG00000150687,ENSG00000153162,ENSG00000160014,ENSG00000160741,ENSG00000162889,ENSG00000163191,ENSG00000167552,ENSG00000167895,ENSG00000167996,ENSG00000168243,ENSG00000169429,ENSG00000172889,ENSG00000173511,ENSG00000174903,ENSG00000176014,ENSG00000176697,ENSG00000178752,ENSG00000187961,ENSG00000188229,ENSG00000196230,ENSG00000196924,ENSG00000197043,ENSG00000197461,ENSG00000198203,ENSG00000204469,ENSG00000205544,ENSG00000214078,ENSG00000227507,ENSG00000240583,ENSG00000258947	CD38,VIM,HSPA5,GRIPAP1,FSTL3,EDN1,PKP1,PLOD1,WNT11,ICAM1,ACOT7,SUSD2,LGALS1,PDGFB,WFDC2,LIPG,METRN,CD276,PLAT,H2AFV,EDF1,RPL28,COL1A1,IL23A,SPARC,CCL20,STK25,TNFAIP3,LTBP2,TUBA1B,NCOA5,NAGK,LYPD3,CPSF3L,RTN3,LOXL2,SLC37A2,TLN1,RAB1A,CLSTN3,POLG,KIFC3,CYR61,ADAM15,B3GAT3,ESAM,PRSS23,BMP6,CALM3,CRTC2,MAPKAPK2,S100A11,TUBA1A,TMC8,FTH1,GNG4,CXCL8,EGFL7,VEGFB,RAB1B,TUBB6,BDNF,FAM132B,KLHL17,TUBB4B,TUBB,FLNA,ANXA6,PDGFA,SULT1C2,PRRC2A,TMEM256,CPNE1,LTB,AQP1,TUBB3
GO:0099513	0.00025135127911045	2.48892647497761	9.5910447761194	22	459	polymeric cytoskeletal fiber	0.032927017563469	ENSG00000026025,ENSG00000073712,ENSG00000081277,ENSG00000084731,ENSG00000100246,ENSG00000104892,ENSG00000105877,ENSG00000123416,ENSG00000126214,ENSG00000140859,ENSG00000160014,ENSG00000160753,ENSG00000160789,ENSG00000164850,ENSG00000167552,ENSG00000167553,ENSG00000167797,ENSG00000176014,ENSG00000188229,ENSG00000196230,ENSG00000196924,ENSG00000258947	VIM,FERMT2,PKP1,KIF3C,DNAL4,KLC3,DNAH11,TUBA1B,KLC1,KIFC3,CALM3,RUSC1,LMNA,GPER1,TUBA1A,TUBA1C,CDK2AP2,TUBB6,TUBB4B,TUBB,FLNA,TUBB3
GO:0099512	0.000614711371574717	2.19153249385989	12.3283582089552	25	590	supramolecular fiber	0.0483278291195038	ENSG00000026025,ENSG00000073712,ENSG00000081277,ENSG00000084731,ENSG00000100246,ENSG00000101335,ENSG00000104892,ENSG00000105877,ENSG00000108821,ENSG00000123416,ENSG00000124006,ENSG00000126214,ENSG00000140859,ENSG00000160014,ENSG00000160753,ENSG00000160789,ENSG00000164850,ENSG00000167552,ENSG00000167553,ENSG00000167797,ENSG00000176014,ENSG00000188229,ENSG00000196230,ENSG00000196924,ENSG00000258947	VIM,FERMT2,PKP1,KIF3C,DNAL4,MYL9,KLC3,DNAH11,COL1A1,TUBA1B,OBSL1,KLC1,KIFC3,CALM3,RUSC1,LMNA,GPER1,TUBA1A,TUBA1C,CDK2AP2,TUBB6,TUBB4B,TUBB,FLNA,TUBB3
GO:0099081	0.000629990311579446	2.18746594853754	12.3492537313433	25	591	supramolecular polymer	0.0483278291195038	ENSG00000026025,ENSG00000073712,ENSG00000081277,ENSG00000084731,ENSG00000100246,ENSG00000101335,ENSG00000104892,ENSG00000105877,ENSG00000108821,ENSG00000123416,ENSG00000124006,ENSG00000126214,ENSG00000140859,ENSG00000160014,ENSG00000160753,ENSG00000160789,ENSG00000164850,ENSG00000167552,ENSG00000167553,ENSG00000167797,ENSG00000176014,ENSG00000188229,ENSG00000196230,ENSG00000196924,ENSG00000258947	VIM,FERMT2,PKP1,KIF3C,DNAL4,MYL9,KLC3,DNAH11,COL1A1,TUBA1B,OBSL1,KLC1,KIFC3,CALM3,RUSC1,LMNA,GPER1,TUBA1A,TUBA1C,CDK2AP2,TUBB6,TUBB4B,TUBB,FLNA,TUBB3
GO:0099080	0.000645600770680395	2.1834137472904	12.3701492537313	25	592	supramolecular complex	0.0483278291195038	ENSG00000026025,ENSG00000073712,ENSG00000081277,ENSG00000084731,ENSG00000100246,ENSG00000101335,ENSG00000104892,ENSG00000105877,ENSG00000108821,ENSG00000123416,ENSG00000124006,ENSG00000126214,ENSG00000140859,ENSG00000160014,ENSG00000160753,ENSG00000160789,ENSG00000164850,ENSG00000167552,ENSG00000167553,ENSG00000167797,ENSG00000176014,ENSG00000188229,ENSG00000196230,ENSG00000196924,ENSG00000258947	VIM,FERMT2,PKP1,KIF3C,DNAL4,MYL9,KLC3,DNAH11,COL1A1,TUBA1B,OBSL1,KLC1,KIFC3,CALM3,RUSC1,LMNA,GPER1,TUBA1A,TUBA1C,CDK2AP2,TUBB6,TUBB4B,TUBB,FLNA,TUBB3
GO:0005875	0.00103116216480496	3.83316945263848	2.54925373134328	9	122	microtubule associated complex	0.0638635527154929	ENSG00000084731,ENSG00000100246,ENSG00000104892,ENSG00000105877,ENSG00000126214,ENSG00000134690,ENSG00000140859,ENSG00000152763,ENSG00000162734	KIF3C,DNAL4,KLC3,DNAH11,KLC1,CDCA8,KIFC3,WDR78,PEA15
GO:0031012	0.00109689308099129	2.90540462372019	4.80597014925373	13	230	extracellular matrix	0.0638635527154929	ENSG00000085741,ENSG00000090339,ENSG00000100097,ENSG00000100311,ENSG00000108821,ENSG00000113140,ENSG00000119681,ENSG00000134013,ENSG00000142871,ENSG00000146707,ENSG00000166833,ENSG00000172889,ENSG00000198732	WNT11,ICAM1,LGALS1,PDGFB,COL1A1,SPARC,LTBP2,LOXL2,CYR61,POMZP3,NAV2,EGFL7,SMOC1
GO:0005874	0.00165861984342017	2.46556532932847	6.93731343283582	16	332	microtubule	0.0869116797952167	ENSG00000084731,ENSG00000100246,ENSG00000104892,ENSG00000105877,ENSG00000123416,ENSG00000126214,ENSG00000140859,ENSG00000160014,ENSG00000160753,ENSG00000167552,ENSG00000167553,ENSG00000167797,ENSG00000176014,ENSG00000188229,ENSG00000196230,ENSG00000258947	KIF3C,DNAL4,KLC3,DNAH11,TUBA1B,KLC1,KIFC3,CALM3,RUSC1,TUBA1A,TUBA1C,CDK2AP2,TUBB6,TUBB4B,TUBB,TUBB3
