ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	ensembl_gene_id	gene_symbol
R-HSA-70895	Branched-chain amino acid catabolism	6/309	22/7349	0.000221788045097971	0.119976686301074	0.119231489491751	56922/594/1738/4329/64087/1629	6	ENSG00000078070,ENSG00000083123,ENSG00000091140,ENSG00000119711,ENSG00000131844,ENSG00000137992	MCCC1,BCKDHB,DLD,ALDH6A1,MCCC2,DBT
R-HSA-389661	Glyoxylate metabolism and glycine degradation	6/309	24/7349	0.000372598404661721	0.119976686301074	0.119231489491751	594/1738/8050/11019/2806/1629	6	ENSG00000083123,ENSG00000091140,ENSG00000110435,ENSG00000121897,ENSG00000125166,ENSG00000137992	BCKDHB,DLD,PDHX,LIAS,GOT2,DBT
R-HSA-6790901	rRNA modification in the nucleus and cytosol	9/309	60/7349	0.000814226962149383	0.174787387874734	0.173701751925202	51096/27292/84128/10171/10199/25926/57050/23160/11056	9	ENSG00000011260,ENSG00000086189,ENSG00000115368,ENSG00000120158,ENSG00000124383,ENSG00000130935,ENSG00000132467,ENSG00000163811,ENSG00000278053,ENSG00000281007	UTP18,DIMT1,WDR75,RCL1,MPHOSPH10,NOL11,UTP3,WDR43,DDX52,
R-HSA-156588	Glucuronidation	4/309	14/7349	0.00219496642906878	0.353389595080073	0.351194628651004	7365/23169/79799/55347	4	ENSG00000109181,ENSG00000116704,ENSG00000135220,ENSG00000144827	UGT2B10,SLC35D1,UGT2A3,ABHD10
R-HSA-204174	Regulation of pyruvate dehydrogenase (PDH) complex	4/309	15/7349	0.00289506701929977	0.362318487273445	0.360068061886654	55066/1738/8050/57546	4	ENSG00000090857,ENSG00000091140,ENSG00000110435,ENSG00000172840	PDPR,DLD,PDHX,PDP2
R-HSA-70268	Pyruvate metabolism	5/309	25/7349	0.00337563808018738	0.362318487273445	0.360068061886654	4199/55066/1738/8050/57546	5	ENSG00000065833,ENSG00000090857,ENSG00000091140,ENSG00000110435,ENSG00000172840	ME1,PDPR,DLD,PDHX,PDP2
R-HSA-72306	tRNA processing	11/309	104/7349	0.00413538051207084	0.380455007110517	0.378091932532191	51095/81929/51605/54974/9972/91801/79691/11102/54931/11260/55253	11	ENSG00000072756,ENSG00000085415,ENSG00000089195,ENSG00000113272,ENSG00000124789,ENSG00000137760,ENSG00000151576,ENSG00000163684,ENSG00000174173,ENSG00000184575,ENSG00000198874	TRNT1,SEH1L,TRMT6,THG1L,NUP153,ALKBH8,QTRTD1,RPP14,TRMT10C,XPOT,TYW1
R-HSA-5368287	Mitochondrial translation	10/309	92/7349	0.00505945054158081	0.407285768597255	0.404756043326464	60488/4528/23107/9801/51318/54534/92399/85476/7284/28977	10	ENSG00000061794,ENSG00000085760,ENSG00000113048,ENSG00000115364,ENSG00000132313,ENSG00000136897,ENSG00000148187,ENSG00000168827,ENSG00000178952,ENSG00000198015	MRPS35,MTIF2,MRPS27,MRPL19,MRPL35,MRPL50,MRRF,GFM1,TUFM,MRPL42
R-HSA-1839126	FGFR2 mutant receptor activation	4/309	20/7349	0.00870572343679944	0.61521855406652	0.611397320811449	5431/22916/8817/2963	4	ENSG00000047315,ENSG00000114503,ENSG00000156427,ENSG00000188342	POLR2B,NCBP2,FGF18,GTF2F2
R-HSA-5579029	Metabolic disorders of biological oxidation enzymes	4/309	21/7349	0.0104049104312687	0.61521855406652	0.611397320811449	2729/23169/1593/2230	4	ENSG00000001084,ENSG00000116704,ENSG00000135929,ENSG00000137714	GCLC,SLC35D1,CYP27A1,FDX1
